id,Sistema,Assunto,Mnemônico,Funcionalidade,Versão,Vínculo,Órgão,UPAG,UORG,Data,Nota,comments
1,SIGEPE,Requerimento,SERVIPACOTVISAO,Solicitar,0,SER,40116,,,2025-09-09 18:39:34.247,1,NAO APARECE A ABA DE GERAR DOCUMENTO
2,SIGEPE,Benefício,MEMRIDECLCUL,Memória de Cálculo,0,,70000,279.0,,2025-09-09 13:14:21.687,1,Confusa
3,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,40801,,,2025-09-08 12:00:17.88,2,"não consigo ver as mensagens e nem responder
"
4,SIGEPE,Avaliação de Desempenho,AVDEREAVDESE,Realizar Minha Avaliação de Desempenho,0,SER,39252,,,2025-09-05 23:29:59.049,5,
5,SIGEPE,Requerimento,ASSUNPAGINASSUN,Listagem de Tarefas,0,SER,26436,2.0,101.0,2025-09-05 16:15:25.111,2,"REcebi essa mensagem, mas não há requerimento algum :https://sso.gestaodeacesso.sigepe.gov.br/ com seu login e senha.
 O requerimento estará visível na área de trabalho do servidor , em "" Tarefas a fazer"".

 Se o requerimento não aparecer em ""Tarefas a fazer"", proceda da seguinte forma:
 Na tela ini"
6,SIGEPE,Ação Judicial,ASSUNPAGINASSUN,Listagem de Tarefas,0,SER,20000,15.0,,2025-09-05 10:31:38.607,1,Não está funcionando.
7,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,17600,,,2025-09-04 11:48:09.147,4,Ainda não tive a oportunidade de utilizar. Mas se existe já existe é um começo.
8,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,57202,,,2025-09-04 05:18:43.003,4,
9,SIGEPE,Requerimento,SERVIPACOTPROCE,Dar Ciência,202,SER,57202,,,2025-09-04 05:16:36.094,4,
10,SIGEPE,Requerimento,SERVIPACOTVISAO,Solicitar,0,SER,59000,,,2025-09-03 13:08:48.153,1,não consigo enxergar o comando que preciso pra anexar os documenos
11,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,35000,,,2025-09-03 11:14:43.776,1,"As respostas de análise de pedido não contém o tema ou sequer um link para o pedido. O email encaminhado também não, pois além de não informar sobre o assunto, a instrução dada para verificar/dar anuência, não é correta, pois o acesso de ""solicitações"" do GOV.BR não funciona. Uma lástima."
12,SIGEPE,Assentamento Funcional Digital,PAGESPESQUASSEN,Pesquisar Assentamento Funcional Digital,0,SER,26233,34.0,,2025-09-02 20:58:24.172,4,Está lento na parte de assinador de documentos.
13,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,40806,,,2025-09-02 14:36:53.718,1,"Mesmo seguindo a orientação não consigo achar a tarefa de ""ciência"" a resposta do requerimento mencionado."
14,SIGEPE,Requerimento,ASSUNPAGINASSUN,Listagem de Tarefas,0,PEN,40806,,,2025-09-02 11:18:09.82,3,difícil achar as funções
15,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,26414,,,2025-09-01 16:42:29.019,5,
16,SIGEPE,Avaliação de Desempenho,AVDEVIAVDESE,Consultar Minha Avaliação de Desempenho,0,SER,39252,,,2025-09-01 14:24:26.437,5,
17,SIGEPE,Avaliação de Desempenho,AVDEREAVDESE,Realizar Minha Avaliação de Desempenho,0,SER,39252,,,2025-09-01 10:58:16.459,5,
18,SIGEPE,Avaliação de Desempenho,AVDEREAVDESE,Realizar Minha Avaliação de Desempenho,0,SER,39252,,,2025-09-01 09:46:04.936,5,
19,SIGEPE,Requerimento,SERVIPACOTPROCE,Detalhar Requerimento,201,PEN,26262,,,2025-08-29 21:24:46.147,4,
20,SIGEPE,Requerimento,ASSUNPAGINASSUN,Listagem de Tarefas,0,SER,26242,,,2025-08-28 22:02:32.821,1,"Muito complicado de entender, poderia ter mais praticidade."
21,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,39252,,,2025-08-28 17:28:13.959,5,helio guerra muniz
22,SIGEPE,Avaliação de Desempenho,METINDACEMETIND,Aceitar Minhas Metas Individuais,0,SER,39252,,,2025-08-28 17:21:01.418,4,
23,SIGEPE,Afastamento,PESQUISFILTRAR,Pesquisar Concessão,42,SER,17500,2716.0,,2025-08-28 10:57:45.566,5,
24,SIGEPE,Avaliação de Desempenho,METINDACEMETIND,Aceitar Minhas Metas Individuais,0,SER,39252,,,2025-08-28 09:44:22.372,5,
25,SIGEPE,Avaliação de Desempenho,REMEINCOMIMERE,Consultar Minhas Metas Repactuadas,0,SER,39252,,,2025-08-28 09:38:20.026,5,
26,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,26235,,,2025-08-28 09:10:03.782,4,
27,SIGEPE,Avaliação de Desempenho,METINDACEMETIND,Aceitar Minhas Metas Individuais,0,SER,39252,,,2025-08-27 14:55:31.555,4,
28,SIGEPE,Requerimento,SERVIPACOTPROCE,Dar Ciência,200,SER,26249,,,2025-08-27 14:05:55.223,4,
29,SIGEPE,Requerimento,SERVIPACOTVISAO,Solicitar,0,SER,70000,,,2025-08-26 14:45:27.343,1,"sem receber o vale transporte a 2 meses, e sem solução ate o momento"
30,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,26242,,,2025-08-26 00:59:41.532,4,
31,SIGEPE,Requerimento,SERVIPACOTPROCE,Dar Ciência,200,SER,40116,,,2025-08-25 19:10:52.748,5,
32,SIGEPE,Gestão de Vínculo,VINCUCONSUVINCU,Detalhar Vínculo,38,SER,57202,10110.0,,2025-08-25 14:36:00.158,1,"INCLUSÃO DE DOCUMENTOS

AO INSERIR DADOS DA CNH O SISTEMA REJEITA AO GRAVAR. TENTEI DE TODAS AS FORMAS, PORÉM EM VÃO.
GOSTARIA DE ORIENTAÇÕES DETALHADAS.

GRATA!"
33,SIGEPE,Avaliação de Desempenho,METINDACEMETIND,Aceitar Minhas Metas Individuais,0,SER,39252,1150.0,1957.0,2025-08-25 09:44:59.206,5,
34,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,26408,222.0,,2025-08-22 14:27:40.773,1,não funciona
35,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,25000,,,2025-08-21 03:23:06.027,1,"Sem opção de resolução do objetivo. 
Dependo de correção dentro do portal Sougov.br .  Gov.br.
Cancelar ""informação"" improcedente do Banco PAN que está impedindo minha portabilidade para outro Banco. O portal não oferece campo para desativar o impedimento .
Aqui não encontrei também ."
36,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,45205,,,2025-08-19 18:54:05.459,5,
37,SIGEPE,Benefício,DETALAUXLITRANS,Detalhar Auxílio Transporte,0,,26424,1.0,,2025-08-19 17:02:50.219,4,"Informações claras. Sugiro ter histórico de todos os pedidos feitos com valor diário, número de dias, data do pedido, entre outros,  para melhor acompanhamento."
38,SIGEPE,Requerimento,CONSULTPROCESS,Analisar Requerimento,81,SER,17200,17.0,,2025-08-18 10:12:40.112,4,"Apesar de ás vezes não conseguir Deferir os requerimentos, (a opção não aparece como disponível), é uma boa funcionalidade."
39,SIGEPE,Requerimento,CONSULTPROCESS,Analisar Requerimento,81,SER,20115,131.0,,2025-08-18 06:46:10.292,5,
40,SIGEPE,Requerimento,SERVIPACOTPROCE,Dar Ciência,200,SER,17600,,,2025-08-17 19:46:55.273,4,
41,SIGEPE,Requerimento,ASSUNPAGINASSUN,Listagem de Tarefas,0,,57202,8797.0,,2025-08-15 17:39:46.938,2,Lento.
42,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,40116,,,2025-08-15 11:55:56.345,5,Excelente 
43,SIGEPE,Requerimento,SERVIPACOTPROCE,Detalhar Requerimento,199,SER,40116,,,2025-08-15 09:27:20.712,3,não consegui registrar a ciência da comunicação
44,SIGEPE,Requerimento,ASSUNPAGINASSUN,Listagem de Tarefas,0,SER,26267,335.0,,2025-08-14 18:07:48.519,2,cada dia mais difícil esses requerimentos que vem do SOUGOV. 
45,SIGEPE,Requerimento,SERVIPACOTVISAO,Solicitar,0,SER,26245,,,2025-08-14 16:57:36.144,2,"o sistema demora e volta com erro. Estou tentando adicionar declaração , conforme solicitado"
46,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,40806,,,2025-08-14 15:24:02.008,4,
47,SIGEPE,Requerimento,ASSUNPAGINASSUN,Listagem de Tarefas,0,,57202,11275.0,9725.0,2025-08-14 15:21:14.644,5,
48,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,57202,11275.0,13247.0,2025-08-13 14:25:14.08,4,
49,SIGEPE,Frequência,PAINEDEGESTO,Painel de Gestão,0,,40116,26.0,,2025-08-13 10:43:44.376,4,
50,SIGEPE,Central de Mensagens,LEITOR,Leitor de mensagens,0,SER,36205,,,2025-08-12 15:10:07.427,4,
