papers,dominant_topic
4,4
6,1
9,2
12,4
13,3
16,2
17,2
21,3
23,4
24,2
25,3
27,0
28,2
30,0
31,1
33,0
36,3
37,1
39,1
40,2
42,2
46,3
47,0
51,3
53,1
55,3
57,3
59,2
61,3
62,2
64,3
65,2
72,4
75,1
76,1
81,4
82,1
83,0
89,3
101,4
102,3
103,4
105,1
107,1
108,3
109,2
110,1
112,3
115,2
116,3
118,3
119,2
123,3
125,2
127,2
130,2
131,2
135,2
136,2
137,4
139,4
140,3
142,2
147,0
148,1
149,3
153,2
154,2
161,3
164,3
167,3
171,3
172,1
173,3
176,1
182,2
183,1
185,2
187,2
192,4
194,4
195,2
202,1
205,3
206,3
208,2
210,2
212,1
214,3
216,3
217,4
218,1
224,3
228,2
229,2
230,1
232,1
235,4
240,2
247,3
249,2
250,2
252,2
258,1
259,0
260,1
261,4
263,4
264,1
265,0
267,2
268,0
270,0
271,1
277,2
279,1
284,1
285,2
287,0
288,3
289,2
293,4
294,1
295,2
297,2
298,0
305,1
308,1
311,2
317,2
325,4
326,0
330,3
332,4
334,3
340,4
342,4
343,4
345,2
346,4
350,3
351,2
352,2
353,3
358,0
365,4
366,4
368,4
369,3
370,2
374,2
375,4
378,0
381,1
385,2
386,4
393,3
394,2
395,0
396,2
398,3
401,1
403,0
406,3
410,4
411,4
412,1
414,2
416,2
418,0
422,3
424,1
426,4
427,4
429,3
430,1
433,3
435,2
437,2
449,4
455,3
456,4
457,3
459,3
462,2
463,2
465,2
466,2
469,4
471,3
473,3
477,2
478,1
480,2
483,0
484,0
487,2
488,2
491,2
492,4
503,0
