|Topico 0|Topico 1|Topico 2|Topico 3|Topico 4|id|dominant_topic
0|0.0|0.0|0.0|0.4001|0.5999|4|4
1|0.0|0.8019|0.0565|0.1416|0.0|6|1
2|0.3963|0.0|0.5221|0.0|0.0816|9|2
3|0.0|0.0|0.0|0.0|1.0|12|4
4|0.5017|0.0|0.0|0.4983|0.0|13|3
5|0.0|0.0|0.1366|0.8634|0.0|16|2
6|0.3779|0.0966|0.3993|0.0879|0.0381|17|2
7|0.1311|0.0|0.1818|0.6871|0.0|21|3
8|0.0|0.2507|0.0|0.2095|0.5399|23|4
9|0.346|0.0|0.6272|0.0|0.0268|24|2
10|0.0|0.0|0.0|1.0|0.0|25|3
11|0.6675|0.0|0.3325|0.0|0.0|27|0
12|0.2665|0.0|0.5161|0.061|0.1564|28|2
13|0.5627|0.0|0.2126|0.1759|0.0489|30|0
14|0.0|1.0|0.0|0.0|0.0|31|1
15|0.8808|0.0|0.1192|0.0|0.0|33|0
16|0.0|0.1219|0.0497|0.6066|0.2219|36|3
17|0.0|0.0|0.0|0.0|1.0|37|1
18|0.0|0.7923|0.1649|0.0|0.0428|39|1
19|0.0762|0.0|0.5988|0.325|0.0|40|2
20|0.0|0.0|0.785|0.215|0.0|42|2
21|0.0|0.0|0.0|0.8842|0.1158|46|3
22|0.922|0.0|0.078|0.0|0.0|47|0
23|0.0|0.1316|0.0|0.8684|0.0|51|3
24|0.0|0.0|0.0|0.0|0.0|53|1
25|0.1063|0.0203|0.2465|0.3847|0.2422|55|3
26|0.219|0.0598|0.3171|0.3605|0.0436|57|3
27|0.3264|0.0|0.6289|0.0|0.0448|59|2
28|0.0|0.0|0.0|0.0|0.0|61|3
29|0.2641|0.0|0.4791|0.1336|0.1232|62|2
30|0.0|0.0|0.0625|0.8672|0.0703|64|3
31|0.2939|0.0|0.7061|0.0|0.0|65|2
32|0.0|0.0|0.0|0.0|1.0|72|4
33|0.0|0.0|0.0|0.0|0.0|75|1
34|0.0|1.0|0.0|0.0|0.0|76|1
35|0.0|0.0|0.0|0.0909|0.9091|81|4
36|0.0|0.7935|0.0365|0.0764|0.0937|82|1
37|0.7856|0.0|0.171|0.0211|0.0223|83|0
38|0.0|0.0|0.1111|0.7818|0.1071|89|3
39|0.0|0.0|0.044|0.0922|0.8638|101|4
40|0.2549|0.0692|0.0|0.6759|0.0|102|3
41|0.0343|0.0391|0.1802|0.0345|0.7119|103|4
42|0.0974|0.5816|0.1237|0.1657|0.0316|105|1
43|0.0|1.0|0.0|0.0|0.0|107|1
44|0.0|0.2283|0.1953|0.3691|0.2073|108|3
45|0.2209|0.0882|0.6909|0.0|0.0|109|2
46|0.0|0.0|0.0|0.0|0.0|110|1
47|0.2103|0.0166|0.1783|0.462|0.1327|112|3
48|0.1085|0.218|0.4662|0.0819|0.1253|115|2
49|0.0|0.0|0.0|1.0|0.0|116|3
50|0.0|0.0|0.0257|0.95|0.0243|118|3
51|0.2048|0.0|0.5132|0.1019|0.1801|119|2
52|0.0|0.0|0.0671|0.9329|0.0|123|3
53|0.0|0.0|0.5897|0.4103|0.0|125|2
54|0.1406|0.0302|0.3625|0.2701|0.1966|127|2
55|0.0606|0.0|0.7099|0.0851|0.1443|130|2
56|0.2395|0.0|0.5502|0.0|0.2103|131|2
57|0.0|0.0|1.0|0.0|0.0|135|2
58|0.1986|0.0171|0.5294|0.1415|0.1135|136|2
59|0.0|0.0|0.0|0.0|1.0|137|4
60|0.0|0.2432|0.2064|0.1512|0.3992|139|4
61|0.0|0.0|0.2051|0.7163|0.0786|140|3
62|0.0|0.0621|0.6535|0.1951|0.0893|142|2
63|0.823|0.0|0.177|0.0|0.0|147|0
64|0.0|1.0|0.0|0.0|0.0|148|1
65|0.0842|0.0|0.3564|0.3345|0.2249|149|3
66|0.0|0.0|1.0|0.0|0.0|153|2
67|0.1759|0.0299|0.6529|0.1171|0.0242|154|2
68|0.0|0.0|0.0|1.0|0.0|161|3
69|0.0|0.0|0.0|1.0|0.0|164|3
70|0.0754|0.0|0.3372|0.3124|0.275|167|3
71|0.0|0.0|0.2455|0.6612|0.0933|171|3
72|0.0|0.8283|0.1717|0.0|0.0|172|1
73|0.0|0.4486|0.0|0.5514|0.0|173|3
74|0.0|0.0|0.0|0.0|0.0|176|1
75|0.1245|0.0|0.6507|0.0711|0.1536|182|2
76|0.0652|0.8355|0.0304|0.0378|0.0312|183|1
77|0.0|0.0|0.6998|0.0|0.3002|185|2
78|0.0|0.0|0.7164|0.2836|0.0|187|2
79|0.1892|0.02|0.1841|0.1721|0.4347|192|4
80|0.0|0.0|0.0|0.0|1.0|194|4
81|0.2623|0.0297|0.486|0.222|0.0|195|2
82|0.0|1.0|0.0|0.0|0.0|202|1
83|0.0|0.0716|0.0506|0.5932|0.2846|205|3
84|0.0|0.0|0.0|1.0|0.0|206|3
85|0.3675|0.0|0.6325|0.0|0.0|208|2
86|0.2522|0.0|0.7478|0.0|0.0|210|2
87|0.0|1.0|0.0|0.0|0.0|212|1
88|0.0|0.0|0.0|1.0|0.0|214|3
89|0.0199|0.0206|0.1151|0.805|0.0394|216|3
90|0.0|0.0|0.0574|0.0|0.9426|217|4
91|0.0|1.0|0.0|0.0|0.0|218|1
92|0.0|0.0|0.0609|0.8733|0.0659|224|3
93|0.3698|0.0|0.4214|0.1238|0.0851|228|2
94|0.2835|0.0|0.5534|0.059|0.1041|229|2
95|0.0|1.0|0.0|0.0|0.0|230|1
96|0.0|1.0|0.0|0.0|0.0|232|1
97|0.0|0.0|0.0|0.0|1.0|235|4
98|0.0594|0.0|0.6136|0.2981|0.029|240|2
99|0.088|0.0203|0.2766|0.5951|0.02|247|3
100|0.0978|0.0|0.8333|0.0|0.0689|249|2
101|0.0|0.0|0.916|0.084|0.0|250|2
102|0.0371|0.0|0.5406|0.1997|0.2226|252|2
103|0.0|1.0|0.0|0.0|0.0|258|1
104|0.7038|0.0|0.2115|0.0567|0.028|259|0
105|0.0|1.0|0.0|0.0|0.0|260|1
106|0.0|0.0|0.3486|0.0|0.6514|261|4
107|0.0|0.1357|0.0465|0.3184|0.4995|263|4
108|0.0|0.6603|0.0869|0.0|0.2528|264|1
109|0.577|0.0277|0.2332|0.1453|0.0169|265|0
110|0.049|0.0891|0.4249|0.3937|0.0433|267|2
111|0.5212|0.0|0.2447|0.119|0.1151|268|0
112|0.5845|0.0|0.3041|0.0759|0.0354|270|0
113|0.0|0.3739|0.0554|0.2213|0.3494|271|1
114|0.0|0.3617|0.4484|0.1899|0.0|277|2
115|0.0|0.0|0.0|0.0|0.0|279|1
116|0.0|0.7047|0.1135|0.0324|0.1494|284|1
117|0.2201|0.0|0.6043|0.1756|0.0|285|2
118|0.8186|0.0|0.1814|0.0|0.0|287|0
119|0.1705|0.0705|0.2413|0.4762|0.0414|288|3
120|0.2826|0.0|0.7174|0.0|0.0|289|2
121|0.0|0.0|0.0|0.0|0.0|293|4
122|0.0|1.0|0.0|0.0|0.0|294|1
123|0.0451|0.0|0.8569|0.0|0.098|295|2
124|0.2573|0.0737|0.4259|0.1718|0.0714|297|2
125|1.0|0.0|0.0|0.0|0.0|298|0
126|0.0|1.0|0.0|0.0|0.0|305|1
127|0.0|1.0|0.0|0.0|0.0|308|1
128|0.0|0.0|0.3203|0.4075|0.2722|311|2
129|0.2861|0.0|0.7139|0.0|0.0|317|2
130|0.1966|0.1317|0.2075|0.0|0.4642|325|4
131|0.5307|0.0829|0.1927|0.1737|0.02|326|0
132|0.0|0.1863|0.0471|0.7666|0.0|330|3
133|0.0|0.0816|0.184|0.1222|0.6123|332|4
134|0.0|0.0526|0.0969|0.8504|0.0|334|3
135|0.0613|0.0|0.1349|0.0904|0.7134|340|4
136|0.0|0.0|0.0|0.0|1.0|342|4
137|0.0|0.0|0.0|0.0|0.0|343|4
138|0.081|0.0|0.5967|0.2992|0.0231|345|2
139|0.062|0.3523|0.1073|0.1621|0.3163|346|4
140|0.0|0.0|0.0|1.0|0.0|350|3
141|0.2428|0.0|0.7572|0.0|0.0|351|2
142|0.0|0.0|1.0|0.0|0.0|352|2
143|0.2827|0.0|0.0|0.5472|0.1701|353|3
144|0.6425|0.0|0.3347|0.0228|0.0|358|0
145|0.0|0.0|0.0|0.0|1.0|365|4
146|0.0|0.0|0.0|0.0|1.0|366|4
147|0.0|0.0|0.0|0.0|1.0|368|4
148|0.0888|0.0|0.2367|0.5147|0.1597|369|3
149|0.2716|0.1943|0.3827|0.0568|0.0945|370|2
150|0.3705|0.0742|0.3519|0.1097|0.0938|374|2
151|0.0|0.2388|0.0|0.0|0.7612|375|4
152|1.0|0.0|0.0|0.0|0.0|378|0
153|0.0|1.0|0.0|0.0|0.0|381|1
154|0.1714|0.0759|0.5661|0.0|0.1866|385|2
155|0.0689|0.0|0.1427|0.1478|0.6405|386|4
156|0.0|0.0|0.0|1.0|0.0|393|3
157|0.0|0.0|1.0|0.0|0.0|394|2
158|0.7286|0.0|0.2714|0.0|0.0|395|0
159|0.2204|0.0|0.7056|0.074|0.0|396|2
160|0.0|0.0|0.0|0.0|0.0|398|3
161|0.0|1.0|0.0|0.0|0.0|401|1
