dominant_topic,document_id,document_score
4,4,0.5999
1,6,0.8019
2,9,0.5221
4,12,1.0
3,13,0.5017
2,16,0.8634
2,17,0.3993
3,21,0.6871
4,23,0.5399
2,24,0.6272
3,25,1.0
0,27,0.6675
2,28,0.5161
0,30,0.5627
1,31,1.0
0,33,0.8808
3,36,0.6066
1,37,1.0
1,39,0.7923
2,40,0.5988
2,42,0.785
3,46,0.8842
0,47,0.922
3,51,0.8684
1,53,0.0
3,55,0.3847
3,57,0.3605
2,59,0.6289
3,61,0.0
2,62,0.4791
3,64,0.8672
2,65,0.7061
4,72,1.0
1,75,0.0
1,76,1.0
4,81,0.9091
1,82,0.7935
0,83,0.7856
3,89,0.7818
4,101,0.8638
3,102,0.6759
4,103,0.7119
1,105,0.5816
1,107,1.0
3,108,0.3691
2,109,0.6909
1,110,0.0
3,112,0.462
2,115,0.4662
3,116,1.0
3,118,0.95
2,119,0.5132
3,123,0.9329
2,125,0.5897
2,127,0.3625
2,130,0.7099
2,131,0.5502
2,135,1.0
2,136,0.5294
4,137,1.0
4,139,0.3992
3,140,0.7163
2,142,0.6535
0,147,0.823
1,148,1.0
3,149,0.3564
2,153,1.0
2,154,0.6529
3,161,1.0
3,164,1.0
3,167,0.3372
3,171,0.6612
1,172,0.8283
3,173,0.5514
1,176,0.0
2,182,0.6507
1,183,0.8355
2,185,0.6998
2,187,0.7164
4,192,0.4347
4,194,1.0
2,195,0.486
1,202,1.0
3,205,0.5932
3,206,1.0
2,208,0.6325
2,210,0.7478
1,212,1.0
3,214,1.0
3,216,0.805
4,217,0.9426
1,218,1.0
3,224,0.8733
2,228,0.4214
2,229,0.5534
1,230,1.0
1,232,1.0
4,235,1.0
2,240,0.6136
3,247,0.5951
2,249,0.8333
2,250,0.916
2,252,0.5406
1,258,1.0
0,259,0.7038
1,260,1.0
4,261,0.6514
4,263,0.4995
1,264,0.6603
0,265,0.577
2,267,0.4249
0,268,0.5212
0,270,0.5845
1,271,0.3739
2,277,0.4484
1,279,0.0
1,284,0.7047
2,285,0.6043
0,287,0.8186
3,288,0.4762
2,289,0.7174
4,293,0.0
1,294,1.0
2,295,0.8569
2,297,0.4259
0,298,1.0
1,305,1.0
1,308,1.0
2,311,0.4075
2,317,0.7139
4,325,0.4642
0,326,0.5307
3,330,0.7666
4,332,0.6123
3,334,0.8504
4,340,0.7134
4,342,1.0
4,343,0.0
2,345,0.5967
4,346,0.3523
3,350,1.0
2,351,0.7572
2,352,1.0
3,353,0.5472
0,358,0.6425
4,365,1.0
4,366,1.0
4,368,1.0
3,369,0.5147
2,370,0.3827
2,374,0.3705
4,375,0.7612
0,378,1.0
1,381,1.0
2,385,0.5661
4,386,0.6405
3,393,1.0
2,394,1.0
0,395,0.7286
2,396,0.7056
3,398,0.0
1,401,1.0
0,403,0.5055
3,406,0.9122
4,410,1.0
4,411,0.3619
1,412,1.0
2,414,0.4443
2,416,0.5078
0,418,0.4628
3,422,0.5457
1,424,0.8918
4,426,1.0
4,427,1.0
3,429,0.5711
1,430,0.8972
3,433,0.6002
2,435,0.5015
2,437,0.7579
4,449,1.0
3,455,0.5751
4,456,0.4599
3,457,0.9488
3,459,0.0
2,462,0.5051
2,463,0.8484
2,465,0.4558
2,466,0.4537
4,469,0.0
3,471,1.0
3,473,0.788
2,477,0.6223
1,478,0.8577
2,480,0.6666
0,483,1.0
0,484,0.6523
2,487,0.5578
2,488,0.5396
2,491,1.0
4,492,0.6953
0,503,0.7488
