papers,dominant_topic
4,4
6,2
9,7
12,6
13,5
16,3
17,3
21,5
23,6
24,7
25,9
27,1
28,3
30,1
31,8
33,1
36,0
37,8
39,6
40,7
42,5
46,0
47,1
51,9
53,8
55,9
57,5
59,3
61,0
62,3
64,5
65,3
72,4
75,8
76,8
81,9
82,8
83,1
89,9
101,4
102,0
103,4
105,6
107,2
108,9
109,7
110,2
112,5
115,7
116,0
118,0
119,7
123,9
125,3
127,9
130,3
131,3
135,3
136,3
137,2
139,4
140,0
142,7
147,1
148,8
149,5
153,7
154,9
161,0
164,0
167,9
171,0
172,8
173,5
176,8
182,7
183,6
185,7
187,3
192,4
194,6
195,7
202,2
205,0
206,0
208,7
210,7
212,8
214,0
216,0
217,9
218,8
224,0
228,7
229,3
230,8
232,2
235,9
240,3
247,0
249,7
250,3
252,4
258,6
259,1
260,8
261,4
263,6
264,6
265,1
267,3
268,1
270,1
271,8
277,7
279,8
284,8
285,3
287,1
288,0
289,1
293,9
294,8
295,3
297,7
298,1
305,6
308,8
311,3
317,3
325,6
326,1
330,9
332,4
334,0
340,4
342,4
343,6
345,3
346,2
350,5
351,3
352,3
353,5
358,1
365,4
366,6
368,6
369,5
370,4
374,3
375,6
378,1
381,8
385,7
386,4
393,9
394,3
395,1
396,7
398,5
401,8
403,1
406,0
410,6
411,4
412,8
414,7
416,7
418,3
422,0
424,2
426,4
427,6
429,9
430,2
433,0
435,9
437,7
449,9
455,5
456,4
457,0
459,5
462,7
463,3
465,3
466,5
469,4
471,0
473,0
477,3
478,6
480,3
483,1
484,1
487,3
488,5
491,7
492,6
503,1
